"time","Porto Velho","Vilhena","Ariquemes","Cacoal"
"Oct 16, 2017",32.533,31.657,34.228,32.708
"Oct 24, 2017",30.146,28.887,31.46,31.819
"Nov 1, 2017",29.504,28.927,31.982,27.939
"Nov 9, 2017",29.422,27.59,29.842,26.148
"Nov 17, 2017",29.035,27.699,31.793,30.253
"Nov 25, 2017",28.689,28.13,29.982,30.101
"Dec 3, 2017",29.323,29.732,31.417,29.228
"Dec 11, 2017",27.866,24.203,30.24,26.522
"Dec 19, 2017",24.999,22.987,,
"Dec 27, 2017",27.908,25.667,28.971,25.036
"Jan 1, 2018",27.845,28.892,29.496,31.062
"Jan 9, 2018",26.498,25.438,24.948,25.765
"Jan 17, 2018",27.715,26.313,29.296,28.292
"Jan 25, 2018",25.021,24.727,,29.142
"Feb 2, 2018",27.778,26.102,30.024,27.762
"Feb 10, 2018",25.123,27.932,27.138,27.179
"Feb 18, 2018",24.105,28.906,,
"Feb 26, 2018",29.491,27.767,29.499,29.531
"Mar 6, 2018",31.421,27.883,32.161,29.766
"Mar 14, 2018",27.96,22.679,29.352,29.169
"Mar 22, 2018",26.603,25.304,26.217,29.131
"Mar 30, 2018",27.385,25.76,31.165,27.509
"Apr 7, 2018",26.478,24.756,26.913,26.32
"Apr 15, 2018",28.3,27.025,29.131,28.027
"Apr 23, 2018",27.76,26.235,28.54,27.605
